Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num,#country+code,#region+main+code,#region+sub+code,#region+intermediate+code
,Albania,41.1533,20.1683,7/26/20,2682,ALB,150,39,
,Albania,41.1533,20.1683,7/25/20,2637,ALB,150,39,
,Albania,41.1533,20.1683,7/24/20,2608,ALB,150,39,
,Albania,41.1533,20.1683,7/23/20,2523,ALB,150,39,
,Albania,41.1533,20.1683,7/22/20,2463,ALB,150,39,
,Albania,41.1533,20.1683,7/21/20,2397,ALB,150,39,
,Albania,41.1533,20.1683,7/20/20,2352,ALB,150,39,
,Albania,41.1533,20.1683,7/19/20,2311,ALB,150,39,
,Albania,41.1533,20.1683,7/18/20,2264,ALB,150,39,
,Albania,41.1533,20.1683,7/17/20,2214,ALB,150,39,
,Albania,41.1533,20.1683,7/16/20,2137,ALB,150,39,
,Albania,41.1533,20.1683,7/15/20,2091,ALB,150,39,
,Albania,41.1533,20.1683,7/14/20,2062,ALB,150,39,
,Albania,41.1533,20.1683,7/13/20,2014,ALB,150,39,
,Albania,41.1533,20.1683,7/12/20,1946,ALB,150,39,
,Albania,41.1533,20.1683,7/11/20,1881,ALB,150,39,
,Albania,41.1533,20.1683,7/10/20,1875,ALB,150,39,
,Albania,41.1533,20.1683,7/9/20,1832,ALB,150,39,
,Albania,41.1533,20.1683,7/8/20,1791,ALB,150,39,
,Albania,41.1533,20.1683,7/7/20,1744,ALB,150,39,
,Albania,41.1533,20.1683,7/6/20,1702,ALB,150,39,
,Albania,41.1533,20.1683,7/5/20,1657,ALB,150,39,
,Albania,41.1533,20.1683,7/4/20,1637,ALB,150,39,
,Albania,41.1533,20.1683,7/3/20,1592,ALB,150,39,
,Albania,41.1533,20.1683,7/2/20,1559,ALB,150,39,
,Albania,41.1533,20.1683,7/1/20,1516,ALB,150,39,
,Albania,41.1533,20.1683,6/30/20,1459,ALB,150,39,
,Albania,41.1533,20.1683,6/29/20,1438,ALB,150,39,
,Albania,41.1533,20.1683,6/28/20,1384,ALB,150,39,
,Albania,41.1533,20.1683,6/27/20,1346,ALB,150,39,
,Albania,41.1533,20.1683,6/26/20,1298,ALB,150,39,
,Albania,41.1533,20.1683,6/25/20,1250,ALB,150,39,
,Albania,41.1533,20.1683,6/24/20,1217,ALB,150,39,
,Albania,41.1533,20.1683,6/23/20,1195,ALB,150,39,
,Albania,41.1533,20.1683,6/22/20,1159,ALB,150,39,
,Albania,41.1533,20.1683,6/21/20,1134,ALB,150,39,
,Albania,41.1533,20.1683,6/20/20,1126,ALB,150,39,
,Albania,41.1533,20.1683,6/19/20,1114,ALB,150,39,
,Albania,41.1533,20.1683,6/18/20,1086,ALB,150,39,
,Albania,41.1533,20.1683,6/17/20,1077,ALB,150,39,
,Albania,41.1533,20.1683,6/16/20,1064,ALB,150,39,
,Albania,41.1533,20.1683,6/15/20,1055,ALB,150,39,
,Albania,41.1533,20.1683,6/14/20,1044,ALB,150,39,
,Albania,41.1533,20.1683,6/13/20,1039,ALB,150,39,
,Albania,41.1533,20.1683,6/12/20,1034,ALB,150,39,
,Albania,41.1533,20.1683,6/11/20,1001,ALB,150,39,
,Albania,41.1533,20.1683,6/10/20,980,ALB,150,39,
,Albania,41.1533,20.1683,6/9/20,960,ALB,150,39,
